alice,pass123,Alice,Johnson,123 Main St,Visa
bob,bobpass,Bob,Smith,456 Oak Ave,Mastercard
charlie,charliepass,Charlie,Davis,789 Maple Dr,Discover
dave,davepass,Dave,Miller,321 Elm St,Visa
emily,emilypass,Emily,Johnson,654 Cedar Ln,Mastercard
frank,frankpass,Frank,Jones,987 Oak St,Discover
gina,ginapass,Gina,Smith,246 Maple Ave,Visa
hank,hankpass,Hank,Davis,753 Cedar St,Mastercard
irene,irenepass,Irene,Miller,159 Oak Dr,Discover
joe,joepass,Joe,Jones,753 Maple Ln,Visa
kate,katepass,Kate,Johnson,258 Cedar Ave,Mastercard
larry,larrypass,Larry,Smith,951 Elm St,Discover
mary,marypass,Mary,Davis,864 Maple Dr,Visa
nick,nickpass,Nick,Miller,357 Oak Ave,Mastercard
olivia,oliviapass,Olivia,Jones,753 Cedar St,Discover
paul,paulpass,Paul,Johnson,159 Maple Ln,Visa
quinn,quinnpass,Quinn,Smith,753 Cedar Ave,Mastercard
robert,robertpass,Robert,Davis,753 Oak St,Discover
sarah,sarahpass,Sarah,Miller,159 Maple Dr,Visa
tim,timpass,Tim,Jones,753 Oak St,Mastercard
user,pass,Koa,Nguyen,Earth,Discover
